source_record_id,order_date,customer_id,product_id,product_name,category,region,channel,quantity,unit_price,total_amount
generated-order-00001,2025-04-17,cust-rand-209,prod-101,Wireless Mouse,electronics,north,online,7,137.71,963.97
generated-order-00002,2025-01-03,cust-rand-037,prod-102,Notebook 14,electronics,southeast,marketplace,2,2937.73,
generated-order-00003,2025-08-27,cust-rand-235,prod-202,Desk Lamp,home,northeast,physical_store,3,100.35,
generated-order-00004,2026-03-14,cust-rand-070,prod-402,Standing Desk,furniture,north,marketplace,5,2060.14,10300.70
generated-order-00005,2025-09-30,cust-rand-060,prod-502,Travel Mug,accessories,south,physical_store,7,67.43,
generated-order-00006,2025-12-20,cust-rand-126,prod-204,Blender,home,north,marketplace,1,339.16,339.16
generated-order-00007,2025-11-18,cust-rand-109,prod-302,Adjustable Dumbbells,fitness,midwest,marketplace,2,850.68,
generated-order-00008,2025-12-18,cust-rand-020,prod-403,Bookshelf,furniture,midwest,partner,4,470.96,1883.84
generated-order-00009,2025-03-04,cust-rand-023,prod-302,Adjustable Dumbbells,fitness,north,physical_store,6,578.95,3473.70
generated-order-00010,2026-02-25,cust-rand-178,prod-201,Coffee Maker,home,north,online,4,337.75,1351.00
generated-order-00011,2025-07-13,cust-rand-324,prod-102,Notebook 14,electronics,northeast,online,5,4057.75,20288.75
generated-order-00012,2025-04-15,cust-rand-139,prod-102,Notebook 14,electronics,midwest,physical_store,3,2341.14,7023.42
generated-order-00013,2025-03-29,cust-rand-272,prod-202,Desk Lamp,home,midwest,partner,6,97.68,
generated-order-00014,2025-05-20,cust-rand-196,prod-301,Yoga Mat,fitness,north,phone_sales,3,52.37,157.11
generated-order-00015,2026-01-19,cust-rand-149,prod-105,Smart Speaker,electronics,midwest,marketplace,8,306.90,2455.20
generated-order-00016,2025-01-21,cust-rand-184,prod-102,Notebook 14,electronics,northeast,physical_store,3,3567.37,10702.11
generated-order-00017,2025-04-28,cust-rand-117,prod-301,Yoga Mat,fitness,northeast,marketplace,2,61.21,122.42
generated-order-00018,2025-03-29,cust-rand-270,prod-403,Bookshelf,furniture,midwest,physical_store,2,566.76,1133.52
generated-order-00019,2025-02-14,cust-rand-228,prod-204,Blender,home,midwest,online,5,317.42,
generated-order-00020,2025-05-15,cust-rand-075,prod-103,Portable Projector,electronics,north,physical_store,7,737.28,5160.96
generated-order-00021,2025-01-16,cust-rand-074,prod-503,Noise Cancelling Headphones,accessories,northeast,marketplace,7,1004.14,7028.98
generated-order-00022,2026-02-06,cust-rand-313,prod-503,Noise Cancelling Headphones,accessories,midwest,online,4,1216.66,4866.64
generated-order-00023,2025-11-01,cust-rand-009,prod-503,Noise Cancelling Headphones,accessories,southeast,marketplace,3,679.29,2037.87
generated-order-00024,2026-02-07,cust-rand-133,prod-301,Yoga Mat,fitness,northeast,marketplace,7,99.21,694.47
generated-order-00025,2026-01-23,cust-rand-280,prod-105,Smart Speaker,electronics,south,online,7,307.43,
generated-order-00026,2026-04-21,cust-rand-291,prod-403,Bookshelf,furniture,north,marketplace,5,666.26,3331.30
generated-order-00027,2025-03-26,cust-rand-245,prod-104,Mechanical Keyboard,electronics,southeast,online,4,407.57,1630.28
generated-order-00028,2025-07-05,cust-rand-318,prod-402,Standing Desk,furniture,midwest,partner,6,733.21,4399.26
generated-order-00029,2025-11-20,cust-rand-055,prod-203,Air Fryer,home,north,physical_store,5,588.36,2941.80
generated-order-00030,2025-05-04,cust-rand-175,prod-104,Mechanical Keyboard,electronics,south,physical_store,8,196.60,1572.80
generated-order-00031,2025-08-23,cust-rand-113,prod-204,Blender,home,northeast,partner,2,275.30,
generated-order-00032,2025-11-16,cust-rand-023,prod-103,Portable Projector,electronics,northeast,physical_store,1,457.09,457.09
generated-order-00033,2026-03-09,cust-rand-242,prod-301,Yoga Mat,fitness,midwest,online,2,144.58,289.16
generated-order-00034,2025-12-07,cust-rand-271,prod-401,Office Chair,furniture,north,online,8,584.46,
